"11.5024338,17.7578122","('Africa', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/', 'https://www.nytimes.com/2021/06/09/arts/design/napoleon-looted-art.html', 'https://www.washingtonpost.com/food/2021/06/09/fried-okra-recipe/'])"
"36.638392,127.6961188","('South', ['https://www.cbsnews.com/news/val-demings-florida-senate-campaign/', 'https://www.nytimes.com/2021/06/09/us/virus-vaccine-south.html', 'https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/', 'https://www.nytimes.com/2021/06/09/opinion/abortion-mississippi-supreme-court.html', 'https://www.nytimes.com/2021/06/09/opinion/us-democracy-republicans.html', 'https://www.nytimes.com/2021/06/09/books/review-all-that-she-carried-ashleys-sack-tiya-miles.html', 'https://nytimes.com/2021/06/09/opinion/abortion-mississippi-supreme-court.html', 'https://nytimes.com/2021/06/09/opinion/us-democracy-republicans.html'])"
"12.4902998,-69.9609842","('Aruba', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/'])"
"38.9953683,21.9877132","('Greece', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/'])"
"18.4,-75.0","('Caribbean', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/', 'https://www.washingtonpost.com/food/2021/06/09/fried-okra-recipe/'])"
"24.0002488,53.9994829","('the United Arab Emirates', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/'])"
"36.5748441,139.2394179","('Japan', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.nytimes.com/live/2021/06/09/world/biden-europe/', 'https://www.bbc.com/news/world-us-canada-57416519', 'https://www.bbc.com/news/world-49434667', 'https://www.bbc.com/news/uk-57406029', 'https://www.bbc.co.uk/news/world-us-canada-57416519', 'http://www.bbc.com/news/world-us-canada-57416519', 'http://www.bbc.com/news/uk-57406029'])"
"-21.0002179,-61.0006565","('South America', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.washingtonpost.com/food/2021/06/09/fried-okra-recipe/', 'http://cnn.com/2021/06/09/business/rising-prices-inventories-post-pandemic/index.html'])"
"39.3014159,-76.5888477","('Middle East', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/'])"
"22.3511148,78.6677428","('India', ['https://www.cbsnews.com/news/covid-19-travel-restrictions-worldwide/', 'https://www.nytimes.com/2021/06/09/style/modern-love-podcast-Hindu-horoscopes-astrology.html', 'https://www.nytimes.com/live/2021/06/09/world/covid-vaccine-coronavirus-mask/', 'https://www.nytimes.com/2021/06/09/world/asia/china-covid-lockdown.html', 'https://nytimes.com/2021/06/09/style/modern-love-podcast-Hindu-horoscopes-astrology.html', 'https://www.bbc.com/news/world-49434667', 'https://www.bbc.com/news/world-asia-india-57418671', 'https://www.bbc.co.uk/news/uk-57353165', 'http://www.bbc.com/news/world-asia-india-57418671', 'http://cnn.com/2021/06/09/business/rising-prices-inventories-post-pandemic/index.html', 'http://cnn.com/2021/06/09/business/solar-manufacturing-china-ohio/index.html'])"
